 JULDAY,   TIME,    CD1,    CD2,    CD3,    CD4,    CD5,    CD6,    CD7,    CD8,    CD9,   CD10
 46.,   1320.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.21
 46.,   1380.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.21
 74.,      0.00,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.21
 74.,     60.00,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25
 74.,    120.00,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25
 74.,    180.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24
 74.,    240.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24
 74.,    300.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24
 74.,    360.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.24
 74.,    420.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23
 74.,    480.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23
 74.,    540.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24
 74.,    600.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24
 74.,    660.00,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24
 74.,    720.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.24
 74.,    780.00,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.24
