  JULDAY,    TIME,   TALOC,   TAREF,   RHLOC,      RH,    VLOC,    VREF,SNOWMELT, POOLDEP,  PCTWET,     ZEN,    SOLR,   TSKYC,     DEW,   FROST,SNOWFALL,SNOWDEP"S
 46., 600.00,  8.07,  9.15, 81.76, 76.01,  0.355,  1.615,  0.00,  0.00, 92.08, 62.59, 257.83,   4.98,0.,0.,   0.00,   0.00,  0.218
 46., 660.00,  9.58, 10.80, 64.76, 59.68,  0.438,  1.993,  0.00,  0.00, 92.10, 57.92, 312.47,   6.57,0.,0.,   0.00,   0.00,  0.218
 46., 720.00, 10.23, 11.98, 67.00, 59.68,  0.604,  2.750,  0.00,  0.00, 92.10, 56.27, 321.83,   7.75,0.,0.,   0.00,   0.00,  0.218
 46., 780.00, 10.88, 12.40, 67.66, 61.21,  0.604,  2.750,  0.00,  0.00, 92.10, 57.92, 312.26,   8.18,0.,0.,   0.00,   0.00,  0.218
 46., 840.00, 10.65, 11.98, 68.50, 62.74,  0.579,  2.638,  0.00,  0.00, 92.09, 62.59, 259.32,   7.76,0.,0.,   0.00,   0.00,  0.218
 46., 900.00,  9.71, 10.80, 69.16, 64.27,  0.555,  2.526,  0.00,  0.00, 92.09, 69.65, 187.27,   6.59,0.,0.,   0.00,   0.00,  0.218
 46., 960.00,  8.28,  9.15, 69.76, 65.80,  0.530,  2.414,  0.00,  0.00, 92.09, 78.40,  93.46,   4.94,0.,0.,   0.00,   0.00,  0.218
 46.,1020.00,  6.72,  7.39, 70.50, 67.33,  0.505,  2.303,  0.00,  0.00, 92.09, 87.97,  10.82,   3.19,0.,0.,   0.00,   0.00,  0.218
 46.,1080.00,  6.02,  6.82, 72.78, 68.87,  0.481,  2.191,  0.00,  0.00, 92.09, 90.00,   0.00,   2.62,0.,0.,   0.00,   0.00,  0.218
 46.,1140.00,  5.80,  6.45, 73.64, 70.40,  0.456,  2.079,  0.00,  0.00, 92.08, 90.00,   0.00,   2.26,0.,0.,   0.00,   0.00,  0.218
 46.,1200.00,  5.40,  6.16, 75.85, 71.93,  0.432,  1.968,  0.00,  0.00, 92.08, 90.00,   0.00,   1.98,0.,0.,   0.00,   0.00,  0.218
 46.,1260.00,  5.36,  5.93, 76.41, 73.46,  0.407,  1.856,  0.00,  0.00, 92.08, 90.00,   0.00,   1.75,0.,0.,   0.00,   0.00,  0.218
 46.,1320.00,  5.05,  5.74, 78.69, 74.99,  0.383,  1.744,  0.00,  0.00, 92.07, 90.00,   0.00,   1.57,0.,0.,   0.00,   0.00,  0.218
 46.,1380.00,  5.10,  5.59, 79.18, 76.52,  0.358,  1.632,  0.00,  0.00, 92.07, 90.00,   0.00,   1.43,0.,0.,   0.00,   0.00,  0.218
 74.,   0.00,  6.38,  6.06, 74.91, 76.60,  0.334,  1.521,  0.00,  0.00, 92.11, 90.00,   0.00,   1.85,0.,0.,   0.00,   0.00,  0.218
 74.,  60.00,  5.87,  5.96, 80.30, 79.77,  0.281,  1.279,  0.00,  0.00, 92.10, 90.00,   0.00,   1.76,0.,0.,   0.00,   0.00,  0.218
 74., 120.00,  5.76,  5.88, 83.65, 82.95,  0.228,  1.038,  0.00,  0.00, 92.09, 90.00,   0.00,   1.70,0.,0.,   0.00,   0.00,  0.218
 74., 180.00,  5.75,  5.82, 86.55, 86.12,  0.175,  0.796,  0.00,  0.00, 92.08, 90.00,   0.00,   1.65,0.,0.,   0.00,   0.00,  0.218
 74., 240.00,  5.80,  5.78, 89.16, 89.30,  0.122,  0.555,  0.00,  0.00, 92.07, 90.00,   0.00,   1.61,0.,0.,   0.00,   0.00,  0.218
 74., 300.00,  5.88,  5.74, 91.56, 92.47,  0.064,  0.292,  0.00,  0.00, 92.05, 90.00,   0.00,   1.58,0.,0.,   0.00,   0.00,  0.218
 74., 360.00,  5.96,  5.71, 94.29, 95.93,  0.057,  0.260,  0.00,  0.00, 92.01, 90.00,   3.18,   1.56,0.,0.,   0.00,   0.00,  0.218
 74., 420.00,  6.18,  5.94, 94.37, 95.93,  0.135,  0.615,  0.00,  0.00, 92.01, 80.82,  70.58,   1.79,0.,0.,   0.00,   0.00,  0.218
 74., 480.00,  6.93,  7.02, 89.27, 88.77,  0.213,  0.971,  0.00,  0.00, 92.06, 70.45, 181.45,   2.85,0.,0.,   0.00,   0.00,  0.218
 74., 540.00,  8.07,  8.62, 83.98, 80.89,  0.291,  1.327,  0.00,  0.00, 92.08, 60.99, 285.57,   4.43,0.,0.,   0.00,   0.00,  0.218
 74., 600.00,  9.32, 10.42, 78.59, 73.02,  0.369,  1.683,  0.00,  0.00, 92.09, 53.11, 359.89,   6.21,0.,0.,   0.00,   0.00,  0.218
 74., 660.00, 10.79, 12.06, 62.27, 57.27,  0.447,  2.038,  0.00,  0.00, 92.11, 47.72, 418.68,   7.77,0.,0.,   0.00,   0.00,  0.218
 74., 720.00, 11.40, 13.19, 64.45, 57.27,  0.604,  2.750,  0.00,  0.00, 92.10, 45.77, 432.66,   8.91,0.,0.,   0.00,   0.00,  0.218
 74., 780.00, 12.02, 13.60, 65.29, 58.88,  0.604,  2.750,  0.00,  0.00, 92.10, 47.72, 418.42,   9.33,0.,0.,   0.00,   0.00,  0.218
 74., 840.00, 11.81, 13.19, 66.26, 60.49,  0.579,  2.638,  0.00,  0.00, 92.10, 53.11, 361.60,   8.93,0.,0.,   0.00,   0.00,  0.218
 74., 900.00, 10.90, 12.06, 67.04, 62.10,  0.555,  2.526,  0.00,  0.00, 92.10, 60.99, 287.61,   7.80,0.,0.,   0.00,   0.00,  0.218
 74., 960.00,  9.50, 10.42, 67.75, 63.71,  0.530,  2.414,  0.00,  0.00, 92.10, 70.45, 183.19,   6.17,0.,0.,   0.00,   0.00,  0.218
 74.,1020.00,  7.90,  8.62, 68.58, 65.32,  0.505,  2.303,  0.00,  0.00, 92.10, 80.82,  71.42,   4.37,0.,0.,   0.00,   0.00,  0.218
 74.,1080.00,  6.77,  7.52, 70.45, 66.93,  0.481,  2.191,  0.00,  0.00, 92.09, 90.00,   3.21,   3.27,0.,0.,   0.00,   0.00,  0.218
 74.,1140.00,  6.39,  7.11, 72.03, 68.54,  0.456,  2.079,  0.00,  0.00, 92.09, 90.00,   0.00,   2.87,0.,0.,   0.00,   0.00,  0.218
 74.,1200.00,  6.05,  6.79, 73.83, 70.16,  0.432,  1.968,  0.00,  0.00, 92.09, 90.00,   0.00,   2.55,0.,0.,   0.00,   0.00,  0.218
 74.,1260.00,  5.88,  6.54, 75.08, 71.77,  0.407,  1.856,  0.00,  0.00, 92.09, 90.00,   0.00,   2.31,0.,0.,   0.00,   0.00,  0.218
 74.,1320.00,  5.67,  6.34, 76.85, 73.38,  0.383,  1.744,  0.00,  0.00, 92.08, 90.00,   0.00,   2.11,0.,0.,   0.00,   0.00,  0.218
 74.,1380.00,  5.61,  6.18, 78.02, 74.99,  0.358,  1.632,  0.00,  0.00, 92.08, 90.00,   0.00,   1.96,0.,0.,   0.00,   0.00,  0.218
105.,   0.00,  7.83,  7.36, 75.41, 77.85,  0.334,  1.521,  0.00,  0.00, 92.11, 90.00,   0.00,   3.14,0.,0.,   0.00,   0.00,  0.218
105.,  60.00,  7.25,  7.27, 81.57, 81.47,  0.270,  1.230,  0.00,  0.00, 92.10, 90.00,   0.00,   3.07,0.,0.,   0.00,   0.00,  0.218
105., 120.00,  7.17,  7.21, 85.28, 85.10,  0.206,  0.940,  0.00,  0.00, 92.10, 90.00,   0.00,   3.02,0.,0.,   0.00,   0.00,  0.218
105., 180.00,  7.21,  7.16, 88.43, 88.72,  0.143,  0.650,  0.00,  0.00, 92.08, 90.00,   0.00,   2.98,0.,0.,   0.00,   0.00,  0.218
105., 240.00,  7.33,  7.12, 91.04, 92.35,  0.064,  0.292,  0.00,  0.00, 92.07, 90.00,   0.00,   2.95,0.,0.,   0.00,   0.00,  0.218
105., 300.00,  7.44,  7.09, 94.52, 96.82,  0.048,  0.218,  0.00,  0.00, 92.03, 90.00,   0.29,   2.94,0.,0.,   0.00,   0.00,  0.218
105., 360.00,  7.55,  7.19, 94.43, 96.82,  0.117,  0.534,  0.00,  0.00, 92.03, 83.46,  47.58,   3.04,0.,0.,   0.00,   0.00,  0.218
105., 420.00,  8.11,  7.95, 90.83, 91.78,  0.187,  0.851,  0.00,  0.00, 92.06, 72.58, 156.79,   3.79,0.,0.,   0.00,   0.00,  0.218
105., 480.00,  8.95,  9.20, 86.61, 85.20,  0.256,  1.167,  0.00,  0.00, 92.08, 61.82, 274.36,   5.01,0.,0.,   0.00,   0.00,  0.218
105., 540.00,  9.98, 10.72, 82.60, 78.62,  0.326,  1.484,  0.00,  0.00, 92.09, 51.64, 375.56,   6.51,0.,0.,   0.00,   0.00,  0.218
105., 600.00, 11.48, 12.26, 75.85, 72.04,  0.395,  1.800,  0.00,  0.00, 92.10, 42.74, 453.40,   8.04,0.,0.,   0.00,   0.00,  0.218
105., 660.00, 12.23, 13.59, 64.38, 58.88,  0.465,  2.117,  0.00,  0.00, 92.11, 36.29, 506.53,   9.31,0.,0.,   0.00,   0.00,  0.218
105., 720.00, 13.04, 14.49, 64.68, 58.88,  0.604,  2.750,  0.00,  0.00, 92.11, 33.85, 524.11,  10.20,0.,0.,   0.00,   0.00,  0.218
105., 780.00, 13.49, 14.80, 65.80, 60.46,  0.604,  2.750,  0.00,  0.00, 92.11, 36.29, 506.23,  10.53,0.,0.,   0.00,   0.00,  0.218
105., 840.00, 13.22, 14.49, 67.34, 62.04,  0.579,  2.638,  0.00,  0.00, 92.10, 42.74, 455.11,  10.22,0.,0.,   0.00,   0.00,  0.218
105., 900.00, 12.49, 13.59, 68.36, 63.62,  0.555,  2.526,  0.00,  0.00, 92.10, 51.64, 377.70,   9.33,0.,0.,   0.00,   0.00,  0.218
105., 960.00, 11.35, 12.26, 69.25, 65.20,  0.530,  2.414,  0.00,  0.00, 92.10, 61.82, 276.44,   8.01,0.,0.,   0.00,   0.00,  0.218
105.,1020.00,  9.98, 10.72, 70.16, 66.78,  0.505,  2.303,  0.00,  0.00, 92.10, 72.58, 158.28,   6.46,0.,0.,   0.00,   0.00,  0.218
105.,1080.00,  8.59,  9.20, 71.25, 68.36,  0.481,  2.191,  0.00,  0.00, 92.10, 83.46,  48.12,   4.95,0.,0.,   0.00,   0.00,  0.218
105.,1140.00,  7.75,  8.43, 73.25, 69.95,  0.456,  2.079,  0.00,  0.00, 92.10, 90.00,   0.29,   4.18,0.,0.,   0.00,   0.00,  0.218
105.,1200.00,  7.44,  8.08, 74.72, 71.53,  0.432,  1.968,  0.00,  0.00, 92.09, 90.00,   0.00,   3.84,0.,0.,   0.00,   0.00,  0.218
105.,1260.00,  7.16,  7.82, 76.48, 73.11,  0.407,  1.856,  0.00,  0.00, 92.09, 90.00,   0.00,   3.59,0.,0.,   0.00,   0.00,  0.218
105.,1320.00,  7.04,  7.62, 77.71, 74.69,  0.383,  1.744,  0.00,  0.00, 92.09, 90.00,   0.00,   3.39,0.,0.,   0.00,   0.00,  0.218
105.,1380.00,  6.88,  7.47, 79.40, 76.27,  0.358,  1.632,  0.00,  0.00, 92.09, 90.00,   0.00,   3.25,0.,0.,   0.00,   0.00,  0.218
135.,   0.00, 10.25,  9.70, 75.58, 78.45,  0.325,  1.481,  0.00,  0.00, 92.11, 90.00,   0.00,   5.47,0.,0.,   0.00,   0.00,  0.218
135.,  60.00,  9.64,  9.62, 82.55, 82.66,  0.249,  1.134,  0.00,  0.00, 92.10, 90.00,   0.00,   5.40,0.,0.,   0.00,   0.00,  0.218
135., 120.00,  9.60,  9.56, 86.64, 86.88,  0.173,  0.787,  0.00,  0.00, 92.09, 90.00,   0.00,   5.36,0.,0.,   0.00,   0.00,  0.218
135., 180.00,  9.74,  9.51, 89.71, 91.09,  0.062,  0.284,  0.00,  0.00, 92.08, 90.00,   0.00,   5.33,0.,0.,   0.00,   0.00,  0.218
135., 240.00,  9.97,  9.48, 94.09, 97.22,  0.035,  0.157,  0.00,  0.00, 92.04, 90.00,   0.02,   5.32,0.,0.,   0.00,   0.00,  0.218
135., 300.00,  9.97,  9.48, 94.04, 97.22,  0.096,  0.437,  0.00,  0.00, 92.04, 87.57,  13.07,   5.32,0.,0.,   0.00,   0.00,  0.218
135., 360.00, 10.24, 10.01, 92.67, 94.08,  0.157,  0.717,  0.00,  0.00, 92.05, 77.26, 107.92,   5.85,0.,0.,   0.00,   0.00,  0.218
135., 420.00, 10.95, 10.99, 88.55, 88.35,  0.219,  0.997,  0.00,  0.00, 92.08, 66.51, 220.87,   6.80,0.,0.,   0.00,   0.00,  0.218
135., 480.00, 11.91, 12.27, 84.61, 82.61,  0.280,  1.277,  0.00,  0.00, 92.09, 55.63, 332.98,   8.07,0.,0.,   0.00,   0.00,  0.218
135., 540.00, 13.06, 13.69, 80.12, 76.88,  0.342,  1.557,  0.00,  0.00, 92.10, 45.00, 435.56,   9.47,0.,0.,   0.00,   0.00,  0.218
